condition_id,n_agents,epochs,openness,kE,kI,kappa,gini,seed,baseline_individual_cci,stability_cci_mean,stability_hazard_mean,stability_cci_slope,auh_890_910,CCI_recover_t50,hazard_decay_t20
14,400,1600,0.006,1.0,1.2,0.4,0.3,1,0.35790207392872714,0.4428115110912517,0.08601030562862622,1.5560366107408035e-05,2.913330831640567,56,26
15,100,1600,0.006,1.0,1.0,0.5,0.15,1,0.38693919414740297,0.43160095939522936,0.08684155490603632,8.455280424618876e-06,2.937042193613228,56,26
16,200,1600,0.006,1.0,1.0,0.5,0.15,1,0.38528857510709447,0.4411148864727384,0.08614533846520642,-3.8371027259959995e-06,2.919608010604069,56,26
17,400,1600,0.006,1.0,1.0,0.5,0.15,1,0.38485134677676985,0.43974207253717973,0.08625090002896908,1.8680188056875208e-05,2.9199060567869095,56,26
18,100,1600,0.006,1.0,1.2,0.5,0.15,1,0.38693919414740297,0.4316373668105353,0.08683209471207294,8.106236717897439e-06,2.937017180002255,56,26
19,200,1600,0.006,1.0,1.2,0.5,0.15,1,0.38528857510709447,0.4411587008543455,0.08613489045998364,-4.2510508881825445e-06,2.9195812342256025,56,26
20,400,1600,0.006,1.0,1.2,0.5,0.15,1,0.38485134677676985,0.44281151121560974,0.08601030560921721,1.5560364735796924e-05,2.913330314387553,56,26
21,100,1600,0.006,1.0,1.0,0.5,0.3,1,0.38695039837442374,0.43160095925608166,0.08684155492782897,8.455281935830616e-06,2.937042602953431,56,26
22,200,1600,0.006,1.0,1.0,0.5,0.3,1,0.3851393076927496,0.4411148861767447,0.08614533851235308,-3.837099549398672e-06,2.9196090910604724,56,26
23,400,1600,0.006,1.0,1.0,0.5,0.3,1,0.3846320262691325,0.43974207217758465,0.08625090008703476,1.8680191924887103e-05,2.9199073942965343,56,26
24,100,1600,0.006,1.0,1.2,0.5,0.3,1,0.38695039837442374,0.43163736675950287,0.08683209472021407,8.106237282353935e-06,2.9370173756469864,56,26
25,200,1600,0.006,1.0,1.2,0.5,0.3,1,0.3851393076927496,0.4411587007566853,0.08613489047526914,-4.251049817727177e-06,2.919581640033237,56,26
26,400,1600,0.006,1.0,1.2,0.5,0.3,1,0.3846320262691325,0.44281151109125183,0.08601030562862606,1.556036610740726e-05,2.9133308307645436,56,26
27,100,1600,0.006,1.0,1.0,0.6,0.15,1,0.41367310946329966,0.4316009593952294,0.08684155490603616,8.455280424617583e-06,2.9370421927364014,56,26
28,200,1600,0.006,1.0,1.0,0.6,0.15,1,0.41202047168721617,0.44111488647273844,0.08614533846520624,-3.837102725997293e-06,2.919608009728398,56,26
29,400,1600,0.006,1.0,1.0,0.6,0.15,1,0.4115831795016634,0.4397420725371798,0.08625090002896892,1.8680188056873656e-05,2.919906055911331,56,26
30,100,1600,0.006,1.0,1.2,0.6,0.15,1,0.41367310946329966,0.4316373668105354,0.08683209471207276,8.106236717896663e-06,2.9370171791245356,56,26
31,200,1600,0.006,1.0,1.2,0.6,0.15,1,0.41202047168721617,0.44115870085434555,0.08613489045998347,-4.251050888184613e-06,2.9195812333488846,56,26
32,400,1600,0.006,1.0,1.2,0.6,0.15,1,0.4115831795016634,0.4428115112156098,0.08601030560921706,1.5560364735795887e-05,2.9133303135107322,56,26
33,100,1600,0.006,1.0,1.0,0.6,0.3,1,0.4136833607960521,0.4316009592560817,0.08684155492782882,8.455281935829064e-06,2.9370426020769576,56,26
34,200,1600,0.006,1.0,1.0,0.6,0.3,1,0.4118697390026604,0.44111488617674477,0.08614533851235291,-3.8370995493989305e-06,2.9196090901855514,56,26
35,400,1600,0.006,1.0,1.0,0.6,0.3,1,0.4113619786095379,0.4397420721775847,0.08625090008703461,1.868019192488555e-05,2.9199073934218993,56,26
36,100,1600,0.006,1.0,1.2,0.6,0.3,1,0.4136833607960521,0.431637366759503,0.08683209472021391,8.106237282353935e-06,2.9370173747696353,56,26
37,200,1600,0.006,1.0,1.2,0.6,0.3,1,0.4118697390026604,0.4411587007566854,0.08613489047526898,-4.251049817728211e-06,2.9195816391572085,56,26
38,400,1600,0.006,1.0,1.2,0.6,0.3,1,0.4113619786095379,0.44281151109125183,0.0860103056286259,1.5560366107405964e-05,2.9133308298885203,56,26
