domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,cci_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,800,0.003,0.06,906,0.4278507927610299,0.7678809602430563,0.31537562014991505,0.4323028714989919,True,0.4284242488383781,0.42815361051739326,0.4286549766093026,1,0.7681442906013757,0.7680583300410591,0.7682239777331029,1
bio,800,0.0033,0.02,901,0.4373485721980718,0.7737120338360405,0.3124006024451341,0.4416258436403079,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.02,902,0.4359458629351044,0.7735963877061429,0.31349796741024066,0.4382299829877627,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.02,903,0.4363391215674103,0.7733860582848434,0.3130498585357029,0.4334319514155886,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.02,904,0.43714352405842183,0.7733477429958439,0.31407331556838075,0.44759729510914276,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.02,905,0.4369176153435644,0.7733425588756605,0.31338324151834906,0.4429140087547245,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.02,906,0.43605079192769663,0.7731609599097231,0.31273562031658164,0.4312690840746461,True,0.4366242480050449,0.4363536096840601,0.4368549757759695,1,0.7734242902680423,0.773338329707726,0.7735039773997696,1
bio,800,0.0033,0.04,901,0.4357485721980719,0.7720720338360405,0.3132206024451341,0.4419443642056778,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
bio,800,0.0033,0.04,902,0.43434586293510447,0.7719563877061428,0.31431796741024065,0.43854881241824595,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
bio,800,0.0033,0.04,903,0.43473912156741024,0.7717460582848433,0.3138698585357029,0.43375304316592445,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
bio,800,0.0033,0.04,904,0.43554352405842184,0.7717077429958439,0.31489331556838074,0.4479113342242617,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
