CCI,hazard,risk,survival,epoch,delta_CCI,delta_hazard,pre_shock_CCI,pre_shock_hazard,success,epsilon,rho,trust_delta,meaning_delta,seed,run_idx
0.571147273706526,0.2297848175079593,0.1656834,0.8343166,1000,0.028557363685326353,-0.022978481750795948,0.5425899100211996,0.25276329925875524,True,0.0012,0.085,0.06,0.07,11,32
0.575147273706526,0.2282848175079593,0.1641472,0.8358528000000001,1000,0.02875736368532633,-0.022828481750795965,0.5463899100211996,0.25111329925875525,True,0.0012,0.085,0.06,0.08,11,33
0.570147273706526,0.2297848175079593,0.16579865000000002,0.83420135,1000,0.02850736368532636,-0.022978481750795948,0.5416399100211996,0.25276329925875524,True,0.0012,0.085,0.07,0.06,11,34
0.574147273706526,0.2282848175079593,0.1642617,0.8357383,1000,0.028707363685326337,-0.022828481750795965,0.5454399100211996,0.25111329925875525,True,0.0012,0.085,0.07,0.07,11,35
0.578147273706526,0.22678481750795929,0.16273075,0.83726925,1000,0.028907363685326315,-0.022678481750795954,0.5492399100211997,0.24946329925875524,True,0.0012,0.085,0.07,0.08,11,36
0.572147273706526,0.2312848175079593,0.1666456,0.8333543999999999,1000,0.028607363685326348,-0.02312848175079593,0.5435399100211996,0.2544132992587552,True,0.0012,0.0875,0.06,0.06,11,37
0.576147273706526,0.2297848175079593,0.16510714999999998,0.83489285,1000,0.028807363685326326,-0.022978481750795948,0.5473399100211996,0.25276329925875524,True,0.0012,0.0875,0.06,0.07,11,38
0.580147273706526,0.2282848175079593,0.1635747,0.8364253,1000,0.029007363685326304,-0.022828481750795965,0.5511399100211997,0.25111329925875525,True,0.0012,0.0875,0.06,0.08,11,39
0.575147273706526,0.2297848175079593,0.16522240000000002,0.8347776,1000,0.02875736368532633,-0.022978481750795948,0.5463899100211996,0.25276329925875524,True,0.0012,0.0875,0.07,0.06,11,40
0.579147273706526,0.2282848175079593,0.1636892,0.8363108,1000,0.02895736368532631,-0.022828481750795965,0.5501899100211997,0.25111329925875525,True,0.0012,0.0875,0.07,0.07,11,41
0.583147273706526,0.22678481750795929,0.162162,0.837838,1000,0.029157363685326287,-0.022678481750795954,0.5539899100211997,0.24946329925875524,True,0.0012,0.0875,0.07,0.08,11,42
0.577147273706526,0.2312848175079593,0.1660656,0.8339344,1000,0.02885736368532632,-0.02312848175079593,0.5482899100211996,0.2544132992587552,True,0.0012,0.09,0.06,0.06,11,43
0.581147273706526,0.2297848175079593,0.1645309,0.8354691,1000,0.0290573636853263,-0.022978481750795948,0.5520899100211997,0.25276329925875524,True,0.0012,0.09,0.06,0.07,11,44
0.585147273706526,0.2282848175079593,0.1630022,0.8369978,1000,0.029257363685326276,-0.022828481750795965,0.5558899100211997,0.25111329925875525,True,0.0012,0.09,0.06,0.08,11,45
0.580147273706526,0.2297848175079593,0.16464615,0.83535385,1000,0.029007363685326304,-0.022978481750795948,0.5511399100211997,0.25276329925875524,True,0.0012,0.09,0.07,0.06,11,46
0.584147273706526,0.2282848175079593,0.1631167,0.8368833,1000,0.029207363685326282,-0.022828481750795965,0.5549399100211997,0.25111329925875525,True,0.0012,0.09,0.07,0.07,11,47
0.588147273706526,0.22678481750795929,0.16159325,0.83840675,1000,0.02940736368532637,-0.022678481750795954,0.5587399100211996,0.24946329925875524,True,0.0012,0.09,0.07,0.08,11,48
0.563747273706526,0.2312848175079593,0.16762,0.83238,1000,0.028187363685326372,-0.02312848175079593,0.5355599100211996,0.2544132992587552,True,0.0013,0.0828,0.06,0.06,11,49
0.567747273706526,0.2297848175079593,0.16607524999999998,0.83392475,1000,0.02838736368532635,-0.022978481750795948,0.5393599100211997,0.25276329925875524,True,0.0013,0.0828,0.06,0.07,11,50
0.571747273706526,0.2282848175079593,0.16453649999999997,0.8354635,1000,0.028587363685326328,-0.022828481750795965,0.5431599100211997,0.25111329925875525,True,0.0013,0.0828,0.06,0.08,11,51
0.566747273706526,0.2297848175079593,0.1661905,0.8338095,1000,0.028337363685326356,-0.022978481750795948,0.5384099100211996,0.25276329925875524,True,0.0013,0.0828,0.07,0.06,11,52
0.570747273706526,0.2282848175079593,0.164651,0.835349,1000,0.028537363685326333,-0.022828481750795965,0.5422099100211997,0.25111329925875525,True,0.0013,0.0828,0.07,0.07,11,53
0.574747273706526,0.22678481750795929,0.1631175,0.8368825,1000,0.02873736368532631,-0.022678481750795954,0.5460099100211997,0.24946329925875524,True,0.0013,0.0828,0.07,0.08,11,54
0.5681472737065261,0.2312848175079593,0.1671096,0.8328904,1000,0.02840736368532637,-0.02312848175079593,0.5397399100211997,0.2544132992587552,True,0.0013,0.085,0.06,0.06,11,55
