time,step,detector_0,detector_1,detector_2,detector_3,detector_4,detector_5,detector_6,detector_7,detector_8,detector_9
1.4222327853752107e-08,670,-8.162356792917478e-14,8.269138304304778e-14,6.277924693003754e-14,-2.177076490154272e-13,-7.1085589701400404e-12,-2.489793410068359e-08,-0.005085367035408749,-7.692820529413294e-05,-2.244118321906329e-05,0.28111686615141224
1.443460140380811e-08,680,-2.472607788880772e-13,1.4497676495194741e-13,2.0613401719990675e-13,-3.4196336944109205e-13,3.57197095523332e-12,-9.303665703452851e-09,0.00066356902313315,-0.003018852096117522,-5.176007054881978e-06,0.7500316837258449
1.464687495386411e-08,690,-2.02578906109612e-13,6.359751791249905e-14,3.154996268198022e-13,-3.069338007256897e-13,-9.59299135775716e-13,4.6939919353336e-09,0.00016027825395962208,-0.05273848602237359,-7.438746102426939e-07,0.3560317957722332
1.4859148503920112e-08,700,6.128043909357715e-14,-1.5935753680821757e-14,3.136191494017876e-13,-1.4699040932703746e-13,-2.69208952199435e-13,-1.4407678887906513e-09,2.9762699328458648e-05,-0.36226370805893915,1.6168242050514723e-07,-0.03393177871416435
1.5071422053976114e-08,710,2.9153805850468046e-13,3.861453657950284e-14,2.0164931451261688e-13,6.028535680741397e-14,2.0800349752055396e-13,4.266928622341568e-10,5.270970966095585e-06,-0.7671096006548596,5.503426268835075e-08,0.0031348190667284553
1.5283695604032117e-08,720,2.4846091181045873e-13,1.9137519049876339e-13,6.467149891195312e-14,2.3549338684181725e-13,-3.7477422446630103e-13,-1.4884405096639108e-10,1.9627958720756637e-07,-0.23181336947284178,-1.8368281121542636e-07,0.0006474134287644726
1.5495969154088116e-08,730,-1.7558262500306845e-14,2.694398719928418e-13,6.660457591465427e-15,3.2172358886283925e-13,-3.1001405164963535e-13,6.478144125769585e-11,-3.3513666229949474e-07,0.025596104485692606,-1.5617135916054083e-05,6.924322583610664e-05
1.570824270414412e-08,740,-2.284920230998975e-13,1.5168636523480446e-13,7.008082228541124e-14,3.009985291573179e-13,2.6839033743656985e-15,-3.0904301930118295e-11,-4.5373020094576825e-08,-0.00019989075105503705,-0.0007562166752058975,1.3592029106457829e-05
1.592051625420012e-08,750,-1.9417068031279594e-13,-9.085886119248335e-14,1.9810551562273753e-13,1.9376083643704568e-13,4.855641803761141e-14,1.391886264835321e-11,3.159140233609879e-08,-0.0006534436370064779,-0.01749250177244446,5.054807924850039e-06
1.613278980425612e-08,760,-5.191196272821183e-15,-2.5801757996414876e-13,2.7618688053057403e-13,5.000587873023337e-14,-9.830388221424711e-14,-4.003536035275363e-12,-4.559564817135936e-09,-0.00012884775334128927,-0.17562378198506168,1.4994083740106956e-06
