run_id,domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,sha256_data,cci_ci_lo,cci_ci_hi,survival_ci_lo,survival_ci_hi,cci_ci,survival_ci
1660,cosmic,200,0.009,0.2,104,0.5181943213170948,0.7971350517924614,0.30102043195823647,0.4555421055561128,True,59b1ffba3d0ffea1e6c79d1814009b78a233038f1b5c7b327533db228078b5fb,0.516395722852553,0.517267383447416,0.796488985188212,0.7970358111063586,1,1
1661,cosmic,200,0.009,0.2,105,0.5164873160416193,0.7975534360918826,0.29912634240830116,0.4646392150110915,True,83dbbe24f6110db39df51b308c6485f5848acc52395845efa63e8b48f12d240e,0.516395722852553,0.517267383447416,0.796488985188212,0.7970358111063586,1,1
1662,cosmic,200,0.009,0.2,106,0.5184337254574324,0.7970742082741651,0.3007755638946496,0.45115892338308583,True,53ed938975701eb454de43936292fe4bd86a6568a2a6cac1ca3319be9302f348,0.516395722852553,0.517267383447416,0.796488985188212,0.7970358111063586,1,1
1663,cosmic,200,0.009,0.2,107,0.5178972500343978,0.7974423600446214,0.3013282213227475,0.4446926726303966,True,eea00f7e4607686d30a5bd3eabc2ff3cd900df59043fe70eecf29eeddb56a1d9,0.516395722852553,0.517267383447416,0.796488985188212,0.7970358111063586,1,1
1664,cosmic,200,0.009,0.2,108,0.516399145687585,0.7966774744783417,0.3017723845756675,0.44290306243544286,True,2bcbbb47f6e3979175c88ee28dc50c25687936bb3d38c85c28c34386612752cd,0.516395722852553,0.517267383447416,0.796488985188212,0.7970358111063586,1,1
1665,cosmic,200,0.009,0.3,101,0.5067778271669817,0.7874399843704291,0.3072723619487532,0.45134429612096083,True,ea990a595cb6fcc7753c915daf9f70b406bae77303a0c450b739c0638446b139,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1666,cosmic,200,0.009,0.3,102,0.5082441300277575,0.7873722413916178,0.30775515888435573,0.4634412497800361,True,b314ed00e0db170f1520180f67ee441e713f7fb75a3dfa8967d65f3a086d0e8d,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1667,cosmic,200,0.009,0.3,103,0.5083503477639069,0.7887740762263462,0.30604252820131383,0.45525218845647286,True,5366620480a15e4863bba636a1752b3799a71c6c3c50999523f9e27526fb95a9,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1668,cosmic,200,0.009,0.3,104,0.5101943213170946,0.7889350517924613,0.3051204319582365,0.4571472524234621,True,ceb810c5ffd1db7ea609ffce1e7db4b181c54e5e55fa2b1f5623df91ab9d7f13,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1669,cosmic,200,0.009,0.3,105,0.5084873160416193,0.7893534360918825,0.3032263424083012,0.4662243274079306,True,56e4040dc54c8a85957e2ea7114477c8ae619d1d54f0347b01f8444056fdf9b2,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1670,cosmic,200,0.009,0.3,106,0.5104337254574324,0.7888742082741651,0.30487556389464965,0.45277820337378205,True,db4ad1968121d97ab762801904e9a82a05e94fd576301b62110972881188def8,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1671,cosmic,200,0.009,0.3,107,0.5098972500343977,0.7892423600446213,0.3054282213227474,0.44632602139692734,True,5df6b62fc5ec26f6c7410be07de99f5d71fa131b378daff539b7022893526a2b,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
1672,cosmic,200,0.009,0.3,108,0.5083991456875849,0.7884774744783416,0.3058723845756675,0.44453833097623124,True,ed6d21fb3b82e3cc8b4595cff162c90da203f55e3b5ffc575a35950b1d2cb549,0.5083957228525529,0.5092673834474157,0.788288985188212,0.7888358111063585,1,1
