theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
55.0,65.0,-10.0,-0.9690053752029574,0.06131055772297773,100
55.0,70.0,-15.0,-0.9389487943641306,0.05308166308391761,100
55.0,75.0,-20.0,-0.8811106224747625,0.062185029306612676,100
55.0,80.0,-25.0,-0.8173866588816928,0.06535901286565464,100
55.0,85.0,-30.0,-0.7472765982135446,0.058065093690711424,100
55.0,90.0,-35.0,-0.6685974993186694,0.06402815830094905,100
60.0,0.0,60.0,-0.2560597764250137,0.05709582451696828,100
60.0,5.0,55.0,-0.33177694259447477,0.05342612133115909,100
60.0,10.0,50.0,-0.4233302190516303,0.056378389203443104,100
60.0,15.0,45.0,-0.5017729592213653,0.060003120105753815,100
60.0,20.0,40.0,-0.5744009490167238,0.04868242680219778,100
60.0,25.0,35.0,-0.6698166297543285,0.05958349924509291,100
60.0,30.0,30.0,-0.7466656394698492,0.05752139133532844,100
60.0,35.0,25.0,-0.8061576521159901,0.05775331539300323,100
60.0,40.0,20.0,-0.8930907544319482,0.0587885902801727,100
60.0,45.0,15.0,-0.928362240395457,0.05818835521610079,100
60.0,50.0,10.0,-0.9713400198172972,0.05840483485949564,100
60.0,55.0,5.0,-0.9837564166508743,0.0577531154605254,100
60.0,60.0,0.0,-0.9939171939667453,0.057964921127715376,100
60.0,65.0,-5.0,-0.988759659027012,0.05429648912817992,100
60.0,70.0,-10.0,-0.9738883276599084,0.05455815429496373,100
60.0,75.0,-15.0,-0.9368621793186446,0.05635201111889454,100
60.0,80.0,-20.0,-0.892603537602103,0.05660653724172917,100
60.0,85.0,-25.0,-0.8233118123841385,0.05673367059654961,100
60.0,90.0,-30.0,-0.7466546766560804,0.05677817861821736,100
65.0,0.0,65.0,-0.18895589312242053,0.054452268628758994,100
65.0,5.0,60.0,-0.2535807656732337,0.058748527459128244,100
65.0,10.0,55.0,-0.3300971404081902,0.05735825875738327,100
65.0,15.0,50.0,-0.41086270937003605,0.05727014839213688,100
65.0,20.0,45.0,-0.5105145838745281,0.06141376719898415,100
65.0,25.0,40.0,-0.590889215016413,0.054945856129416853,100
65.0,30.0,35.0,-0.6735875986033364,0.05840300627795448,100
65.0,35.0,30.0,-0.75661142510158,0.056416617954243055,100
65.0,40.0,25.0,-0.827714685587204,0.060897303399886867,100
65.0,45.0,20.0,-0.8879550058139012,0.05822629403171201,100
65.0,50.0,15.0,-0.9380031808110597,0.0626496786295744,100
65.0,55.0,10.0,-0.9718839971688683,0.05289399953051018,100
65.0,60.0,5.0,-0.9861374037707524,0.0593066762226967,100
65.0,65.0,0.0,-1.008256440190709,0.05586626669986961,100
65.0,70.0,-5.0,-1.0007519798759292,0.05830708356222695,100
65.0,75.0,-10.0,-0.9682724756455912,0.06061298843320688,100
65.0,80.0,-15.0,-0.9381651447323052,0.05166950364326776,100
65.0,85.0,-20.0,-0.878203345361594,0.05323117478083652,100
65.0,90.0,-25.0,-0.817924185474542,0.056659252597402114,100
70.0,0.0,70.0,-0.11508295034110062,0.05678085671337893,100
70.0,5.0,65.0,-0.17484579265680494,0.055660993048851186,100
70.0,10.0,60.0,-0.24615352390257647,0.05837020354779899,100
70.0,15.0,55.0,-0.33300498549367075,0.060760369295729255,100
70.0,20.0,50.0,-0.4164303880951295,0.05698594452845686,100
70.0,25.0,45.0,-0.49116586194302303,0.05751840884163061,100
70.0,30.0,40.0,-0.5866111671320017,0.05770567171669539,100
70.0,35.0,35.0,-0.6722916372681634,0.057262065175796205,100
70.0,40.0,30.0,-0.7462944129981476,0.05590046548103016,100
70.0,45.0,25.0,-0.8217915371039297,0.05849096068662068,100
70.0,50.0,20.0,-0.889733257542278,0.06102634229359373,100
70.0,55.0,15.0,-0.9377353165527951,0.0533544336448618,100
70.0,60.0,10.0,-0.9724297827638045,0.054714043144861356,100
70.0,65.0,5.0,-0.9912122846032863,0.054104847303565885,100
70.0,70.0,0.0,-1.0058527907541885,0.058721841744174275,100
70.0,75.0,-5.0,-0.9886435664647333,0.05983986806113558,100
70.0,80.0,-10.0,-0.9766042771062132,0.059217048003770624,100
70.0,85.0,-15.0,-0.9328981691120575,0.05507345830698697,100
70.0,90.0,-20.0,-0.8768012231800136,0.062453843327314004,100
75.0,0.0,75.0,-0.06545800994146642,0.05824157669585373,100
75.0,5.0,70.0,-0.1206222300610823,0.053286279061913466,100
75.0,10.0,65.0,-0.18250888560655087,0.05550277634232681,100
75.0,15.0,60.0,-0.252123509707368,0.05822493042752922,100
75.0,20.0,55.0,-0.3249016206208216,0.05664187910246763,100
75.0,25.0,50.0,-0.42106652329390526,0.05627893027232619,100
75.0,30.0,45.0,-0.4981127399097566,0.055527789385453566,100
75.0,35.0,40.0,-0.5844688165925259,0.05283664488101628,100
75.0,40.0,35.0,-0.6665150975706111,0.06152277586057785,100
75.0,45.0,30.0,-0.7405311022807548,0.06095607928177396,100
75.0,50.0,25.0,-0.8191659901944931,0.05658446349064195,100
75.0,55.0,20.0,-0.881459229853681,0.05729997717878243,100
75.0,60.0,15.0,-0.9223381136273312,0.0519972580729274,100
75.0,65.0,10.0,-0.9720517659476947,0.05926641806952432,100
75.0,70.0,5.0,-0.9915503030780564,0.05500125306019522,100
75.0,75.0,0.0,-0.9965982676933244,0.05738371052969476,100
75.0,80.0,-5.0,-0.9788251855205279,0.0553283372233709,100
75.0,85.0,-10.0,-0.9666995663207452,0.054053760299009865,100
75.0,90.0,-15.0,-0.940440972666444,0.054896722947768074,100
80.0,0.0,80.0,-0.02608368651370257,0.05236267223695455,100
80.0,5.0,75.0,-0.06352409790673809,0.057821184858685405,100
80.0,10.0,70.0,-0.1265088505467981,0.05931521880065704,100
80.0,15.0,65.0,-0.1884560467702842,0.056107580810709996,100
80.0,20.0,60.0,-0.24815053021341707,0.05622652618902496,100
80.0,25.0,55.0,-0.3191213532458645,0.05348571877145638,100
80.0,30.0,50.0,-0.4155749794860769,0.05961446246330412,100
80.0,35.0,45.0,-0.4999767068568822,0.056731419566942706,100
80.0,40.0,40.0,-0.5962049628488147,0.05767857075463803,100
80.0,45.0,35.0,-0.6638737840292858,0.05595927943781611,100
80.0,50.0,30.0,-0.7448303014716773,0.05996338425062657,100
