condition_id,cosmic_regime,n_agents,epochs,openness,kE,kI,lam,eta,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,R_mean,auh_1180_1220
29,present,180,1400,0.005,1.0,1.1,0.7,-0.0049012741893949005,1,0.3835682241813156,0.22504416745680417,0.00017602674678548973,2.0066011711616145,8.15600378306149
30,present,180,1800,0.005,1.0,1.1,0.9,-0.0049012741893949005,1,0.40953151945986666,0.12002281067069562,1.202229543992283e-07,3.4121142613110647,8.185532334475258
31,present,180,1800,0.005,1.1,0.9,0.7,-0.0049012741893949005,1,0.40953463543201674,0.12001362735302845,7.500580851566492e-08,3.412401204084056,8.15600378306149
32,present,180,1800,0.005,1.1,0.9,0.9,-0.0049012741893949005,1,0.4095315743261277,0.12002281067069562,1.2135049631017855e-07,3.4121147185544998,8.185532334475258
33,present,180,1800,0.005,1.1,1.0,0.7,-0.0049012741893949005,1,0.40953460694377275,0.12001362735302845,7.441768953882617e-08,3.4124009666712256,8.15600378306149
34,present,180,1800,0.005,1.1,1.0,0.9,-0.0049012741893949005,1,0.40953154583788376,0.12002281067069562,1.2076237733540885e-07,3.4121144811399975,8.185532334475258
35,present,180,1800,0.005,1.1,1.1,0.7,-0.0049012741893949005,1,0.4095345805455454,0.12001362735302845,7.387829098126254e-08,3.4124007466756163,8.15600378306149
36,present,180,1800,0.005,1.1,1.1,0.9,-0.0049012741893949005,1,0.40953280144032733,0.12002050557141634,1.2507546231468858e-07,3.412190416167441,8.185532334475258
37,present,180,1800,0.007,0.9,0.9,0.7,-0.0031647729091449496,1,0.40969419353148256,0.1200135347458858,8.513271554425318e-08,3.413733313218233,8.155816355810416
38,present,180,1800,0.007,0.9,0.9,0.9,-0.0031647729091449496,1,0.4096913906537919,0.12002194337895784,1.2798072374226377e-07,3.413470880916107,8.185340287586504
39,present,180,1800,0.007,0.9,1.0,0.7,-0.0031647729091449496,1,0.4096941745071204,0.1200135347458858,8.473401688511067e-08,3.4137331546779963,8.155816355810416
40,present,180,1800,0.007,0.9,1.0,0.9,-0.0031647729091449496,1,0.40969137162942965,0.12002194337895784,1.2758202508279244e-07,3.4134707223755427,8.185340287586504
41,present,180,1800,0.007,0.9,1.1,0.7,-0.0031647729091449496,1,0.40969415675636495,0.1200135347458858,8.436954313018072e-08,3.4137330067514084,8.155816355810416
42,present,180,1800,0.007,0.9,1.1,0.9,-0.0031647729091449496,1,0.4096913538786743,0.12002194337895784,1.2721755132753367e-07,3.4134705744486835,8.185340287586504
43,present,180,1800,0.007,1.0,0.9,0.7,-0.0031647729091449496,1,0.4096941935215191,0.1200135347458858,8.513272273849899e-08,3.413733313135213,8.155816355810416
44,present,180,1800,0.007,1.0,0.9,0.9,-0.0031647729091449496,1,0.4096913906438284,0.12002194337895784,1.2798073093683838e-07,3.413470880833093,8.185340287586504
45,present,180,1800,0.007,1.0,1.0,0.7,-0.0031647729091449496,1,0.4096941744971569,0.1200135347458858,8.47340240796853e-08,3.413733154594977,8.155816355810416
46,present,180,1800,0.007,1.0,1.0,0.9,-0.0031647729091449496,1,0.40969137161946617,0.12002194337895784,1.2758203227670943e-07,3.4134707222925287,8.185340287586504
47,present,180,1800,0.007,1.0,1.1,0.7,-0.0031647729091449496,1,0.40969415674640147,0.1200135347458858,8.436955032442654e-08,3.4137330066683886,8.155816355810416
48,present,180,1800,0.007,1.0,1.1,0.9,-0.0031647729091449496,1,0.4096913538687108,0.12002194337895784,1.2721755852079303e-07,3.4134705743656704,8.185340287586504
49,present,180,1800,0.007,1.1,0.9,0.7,-0.0031647729091449496,1,0.4096941935132096,0.1200135347458858,8.513273188889308e-08,3.4137333130659755,8.155816355810416
50,present,180,1800,0.007,1.1,0.9,0.9,-0.0031647729091449496,1,0.40969139063551896,0.12002194337895784,1.2798074008493075e-07,3.413470880763861,8.185340287586504
51,present,180,1800,0.007,1.1,1.0,0.7,-0.0031647729091449496,1,0.4096941744888474,0.1200135347458858,8.473403322876411e-08,3.4137331545257394,8.155816355810416
52,present,180,1800,0.007,1.1,1.0,0.9,-0.0031647729091449496,1,0.4096913716111568,0.12002194337895784,1.275820414254594e-07,3.413470722223296,8.185340287586504
53,present,180,1800,0.007,1.1,1.1,0.7,-0.0031647729091449496,1,0.4096941567380921,0.1200135347458858,8.436955947251889e-08,3.413733006599152,8.155816355810416
54,present,180,1800,0.007,1.1,1.1,0.9,-0.0031647729091449496,1,0.40969135386040134,0.12002194337895784,1.2721756767085829e-07,3.4134705742964377,8.185340287586504
55,future,180,1800,0.003,0.9,0.9,0.7,-0.009521653501561282,1,0.40937949240704785,0.12000849613249827,7.879132284506015e-08,3.411254303992662,8.156502478342189
56,future,180,1800,0.003,0.9,0.9,0.9,-0.009521653501561282,1,0.4093767644716683,0.12001667993863681,1.2166897780006682e-07,3.4109990409754127,8.18604332141311
57,future,180,1800,0.003,0.9,1.0,0.7,-0.009521653501561282,1,0.4093794348730633,0.12000849613249827,7.75962058960095e-08,3.4112538245213395,8.156502478342189
58,future,180,1800,0.003,0.9,1.0,0.9,-0.009521653501561282,1,0.4093767069376838,0.12001667993863681,1.204738608529891e-07,3.4109985615025336,8.18604332141311
59,future,180,1800,0.003,0.9,1.1,0.7,-0.009521653501561282,1,0.40937938149208175,0.12000849613249827,7.650021041176016e-08,3.411253379659244,8.156502478342189
